country,year,gdp_total_yearly_growth,human_development_index,unempolyment_rate_percent,population_total
Albania,1990,1.94,0.644,,3290000
Albania,1991,-28.9,0.625,,3280000
Albania,1992,-8.79,0.608,,3250000
Albania,1993,7.38,0.611,,3200000
Albania,1994,5.93,0.617,,3150000
Albania,1995,11.2,0.629,,3110000
Albania,1996,7.66,0.639,,3100000
Albania,1997,-11.1,0.639,,3100000
Albania,1998,11.8,0.649,,3110000
Albania,1999,9.36,0.66,,3120000
Albania,2000,6.76,0.667,,3130000
Albania,2001,6.89,0.6729999999999999,,3130000
Albania,2002,3.28,0.68,,3130000
Albania,2003,6.03,0.687,,3120000
Albania,2004,5.97,0.6920000000000001,,3100000
Albania,2005,5.53,0.7020000000000001,,3090000
Albania,2006,5.77,0.7090000000000001,,3060000
Albania,2007,5.85,0.718,0.0529,3030000
Albania,2008,7.24,0.7240000000000001,0.045,3000000
Albania,2009,3.28,0.7290000000000001,0.0491,2970000
Albania,2010,3.36,0.74,0.0567,2950000
Albania,2011,2.86,0.759,0.0528,2930000
Albania,2012,2.64,0.7709999999999999,0.053,2910000
Albania,2013,2.06,0.7809999999999999,0.0553,2900000
Algeria,1990,-1.45,0.578,,25800000
Algeria,1991,-1.08,0.5820000000000001,,26400000
Algeria,1992,1.65,0.589,,27000000
Algeria,1993,-2.23,0.593,,27600000
Algeria,1994,-0.9990000000000001,0.597,,28200000
Algeria,1995,3.69,0.602,,28800000
Algeria,1996,3.72,0.61,,29300000
Algeria,1997,1.02,0.619,,29700000
Algeria,1998,5.03,0.629,,30200000
Algeria,1999,3.14,0.638,,30600000
Algeria,2000,2.45,0.6459999999999999,,31000000
Algeria,2001,2.62,0.655,,31500000
Algeria,2002,4.07,0.6659999999999999,,31900000
Algeria,2003,7.04,0.6759999999999999,,32300000
Algeria,2004,5.41,0.685,,32700000
Algeria,2005,5.38,0.6940000000000001,,33100000
Algeria,2006,1.72,0.6990000000000001,,33600000
Algeria,2007,3.42,0.708,,34200000
Algeria,2008,2.02,0.711,,34700000
Algeria,2009,1.7,0.72,,35300000
Algeria,2010,3.57,0.73,,36000000
Algeria,2011,2.31,0.738,,36700000
Algeria,2012,2.58,0.737,,37400000
Algeria,2013,2.99,0.746,,38100000
Angola,1990,-0.445,,,11800000
Angola,1991,0.991,,,12200000
Angola,1992,-5.84,,,12700000
Angola,1993,-24.0,,,13100000
